File Number,Address,InDate,Folder Name,QC_Status,Comments,Actions
21 233427 ESC 20 OZ,40 EGLINTON SQ    ,2021-11-02,40 EGLINTON SQ,Not Checked,,
21 235806 ESC 20 OZ,375 KENNEDY RD    ,2021-11-09,375 KENNEDY RD,Not Checked,,
21 240661 ESC 21 OZ,36 ELLESMERE RD    ,2021-11-23,36 ELLESMERE RD,Not Checked,,
21 245219 ESC 20 OZ,2911 EGLINTON AVE  E  ,12-05-2021,2911 EGLINTON AVE E,Not Checked,,
21 244299 ESC 22 OZ,750 HUNTINGWOOD DR    ,12-02-2021,750 HUNTINGWOOD DR,Not Checked,,
21 247614 ESC 25 OZ,10165 SHEPPARD AVE E  ,2021-12-12,10165 SHEPPARD AVE E,Not Checked,,
21 250500 ESC 25 OZ,4630 KINGSTON RD    ,2021-12-21,4630 KINGSTON RD,Not Checked,,
21 250150 ESC 24 OZ,3434 LAWRENCE AVE E  ,2021-12-20,3434 LAWRENCE AVE E,Not Checked,,
