File Number,Address,InDate,Folder Name,QC_Status,Comments,Actions
21 232816 WET 03 OZ,5230 DUNDAS ST W  ,2021-11-01,5230 DUNDAS ST W & 3825 BLOOR ST W,,,
21 234039 WET 05 OZ,1871 WESTON RD    ,2021-11-04,"1871, 1879, 1885 WESTON RD",,,
21 234039 WET 05 OZ,1879 WESTON RD    ,2021-11-04,"1871, 1879, 1885 WESTON RD",,,
21 234039 WET 05 OZ,1885 WESTON RD    ,2021-11-04,"1871, 1879, 1885 WESTON RD",,,
21 235704 WET 03 OZ,2417 LAKE SHORE BLVD W  ,2021-11-09,"2405, 2407, 2409 - 2411, 2417 LAKE SHORE BLVD W",,,
21 235704 WET 03 OZ,2409-2411 LAKE SHORE BLVD W  ,2021-11-09,"2405, 2407, 2409 - 2411, 2417 LAKE SHORE BLVD W",,,
21 235704 WET 03 OZ,2407 LAKE SHORE BLVD W,2021-11-09,"2405, 2407, 2409 - 2411, 2417 LAKE SHORE BLVD W",,,
21 235704 WET 03 OZ,2405 LAKE SHORE BLVD W  ,2021-11-09,"2405, 2407, 2409 - 2411, 2417 LAKE SHORE BLVD W",,,
21 235816 WET 07 OZ,20 BROADOAKS DR    ,2021-11-09,11 CATFORD RD & 20 BROADOAKS DR,,,
21 235816 WET 07 OZ,11 CATFORD RD    ,2021-11-09,11 CATFORD RD & 20 BROADOAKS DR,,,
21 236433 WET 03 OZ,25 THE WEST MALL     ,2021-11-10,25 THE WEST MALL,,,
21 236250 WET 03 OZ,266 ROYAL YORK RD    ,2021-11-09,266 ROYAL YORK RD,,,
21 237739 WET 03 OZ,2943A BLOOR ST W  ,2021-11-15,2915-2943 BLOOR ST W,,,
21 237739 WET 03 OZ,2941 BLOOR ST W  ,2021-11-15,2915-2943 BLOOR ST W,,,
21 237739 WET 03 OZ,2939 BLOOR ST W  ,2021-11-15,2915-2943 BLOOR ST W,,,
21 237739 WET 03 OZ,2915 BLOOR ST W  ,2021-11-15,2915-2943 BLOOR ST W,,,
21 237739 WET 03 OZ,2917 BLOOR ST W  ,2021-11-15,2915-2943 BLOOR ST W,,,
21 237739 WET 03 OZ,2943 BLOOR ST W  ,2021-11-15,2915-2943 BLOOR ST W,,,
21 251925 WET 07 OZ,470 SENTINEL RD    ,2021-12-29,470 SENTINEL RD & 1-40 FOUNTAINHEAD RD,,,
21 251925 WET 07 OZ,40 FOUNTAINHEAD RD    ,2021-12-29,470 SENTINEL RD & 1-40 FOUNTAINHEAD RD,,,
21 251925 WET 07 OZ,35 FOUNTAINHEAD RD    ,2021-12-29,470 SENTINEL RD & 1-40 FOUNTAINHEAD RD,,,
21 251925 WET 07 OZ,1 FOUNTAINHEAD RD    ,2021-12-29,470 SENTINEL RD & 1-40 FOUNTAINHEAD RD,,,
21 251071 WET 03 OZ,5251 DUNDAS ST  W  ,2021-12-23,5251 DUNDAS ST W,,,
21 252238 WET 03 OZ,4 SUPERIOR AVE    ,2021-12-30,2 & 4 SUPERIOR AVE,,,
21 252238 WET 03 OZ,2 SUPERIOR AVE    ,2021-12-30,2 & 4 SUPERIOR AVE,,,
