File Number,Address,InDate,Folder Name,QC_Status,Comments,Actions
21 232816 WET 03 OZ,5230 DUNDAS ST W  ,11/01/2021,5230 DUNDAS ST W & 3825 BLOOR ST W,Not Checked,,
21 234039 WET 05 OZ,1871 WESTON RD    ,01/24/2022,"1871, 1879, 1885 WESTON RD",Cleared,Issues missing part of site/street names too small,Fixed and completed
21 235704 WET 03 OZ,2417 LAKE SHORE BLVD W  ,11/09/2021,"2405, 2407, 2409 - 2411, 2417 LAKE SHORE BLVD W",Not Checked,"street names too small on all maps, KM address too long for spot, needed to be 2 lines",Fixed and saved as illustrator file
21 235816 WET 07 OZ,20 BROADOAKS DR    ,11/09/2021,11 CATFORD RD & 20 BROADOAKS DR,Not Checked,,
21 236433 WET 03 OZ,25 THE WEST MALL     ,11/10/2021,25 THE WEST MALL,Not Checked,,
21 236250 WET 03 OZ,266 ROYAL YORK RD    ,11/09/2021,266 ROYAL YORK RD,Not Checked,,
21 237739 WET 03 OZ,2943A BLOOR ST W  ,11/15/2021,2915-2943 BLOOR ST W,Not Checked,,
21 251925 WET 07 OZ,470 SENTINEL RD    ,12/29/2021,470 SENTINEL RD & 1-40 FOUNTAINHEAD RD,Not Checked,,
21 251071 WET 03 OZ,5251 DUNDAS ST  W  ,12/23/2021,5251 DUNDAS ST W,Not Checked,,
21 252238 WET 03 OZ,4 SUPERIOR AVE    ,12/30/2021,2 & 4 SUPERIOR AVE,Not Checked,,
