File Number,Address,InDate,Folder Name,QC_Status,Comments,Actions
21 233980 NNY 15 OZ,1837 BAYVIEW AVE    ,2021-11-04,1837-1845 BAYVIEW AVE,Not Checked,,
21 233301 NNY 17 OZ,11 GREENBRIAR RD    ,2021-11-02,11 GREENBRIAR RD,Not Checked,,
21 234009 NNY 15 OZ,136 BROADWAY AVE    ,2021-11-04,136 BROADWAY AVE,Not Checked,,
21 234538 NNY 06 OZ,155 ANTIBES DR    ,2021-11-05,155 ANTIBES DR,Not Checked,,
21 233896 NNY 08 OZ,36 EGLINTON AVE W  ,2021-11-03,36-44 EGLINTON AVE W,Not Checked,,
21 235960 NNY 15 OZ,23 BRENTCLIFFE RD    ,2021-11-09,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,Not Checked,,
21 235569 NNY 18 OZ,500 SHEPPARD AVE E  ,2021-11-08,500 SHEPPARD AVE E,Not Checked,,
21 235229 NNY 08 OZ,2418 DUFFERIN ST    ,2021-11-08,2402-2418 DUFFERIN ST & 4-10 RAMSDEN RD,Not Checked,,
21 235591 NNY 08 OZ,836 ROSELAWN AVE    ,2021-11-08,"131 LYON CRT, 836 & 838 ROSELAWN AVE",Not Checked,,
21 235582 NNY 18 OZ,68 CHURCHILL AVE    ,2021-11-08,68-78 CHURCHILL AVE,Not Checked,,
21 239141 NNY 15 OZ,7 ROCHEFORT DR    ,2021-11-18,7-11 ROCHEFORT DR,Not Checked,,
21 246686 NNY 18 OZ,6464 YONGE ST,2021-12-09,6212-6600 YONGE ST,Not Checked,,
21 252446 NNY 06 OZ,2 CHAMPAGNE DR    ,2021-12-31,2 CHAMPAGNE DR,Not Checked,,
21 251207 NNY 15 OZ,133 ERSKINE AVE    ,2021-12-23,133-141 ERSKINE AVE,Not Checked,,
21 251397 NNY 16 OZ,3 SWIFT DR    ,2021-12-24,3 SWIFT DR,Not Checked,,
21 251380 NNY 18 OZ,307 SHEPPARD AVE W  ,2021-12-24,307 SHEPPARD AVE W,Not Checked,,
21 252336 NNY 06 OZ,2 CHAMPAGNE DR    ,2021-12-31,2 CHAMPAGNE DR,Not Checked,,
21 251851 NNY 08 OZ,521 COLDSTREAM AVE    ,2021-12-29,515-521 COLDSTREAM AVE,Not Checked,,
21 252354 NNY 17 OZ,22 GREENBRIAR RD    ,2021-12-31,22-36 GREENBRIAR RD,Not Checked,,
21 251194 NNY 08 OZ,782 MARLEE AVE    ,2021-12-23,774 - 782 MARLEE AVE,Not Checked,,
21 251175 NNY 08 OZ,1141 ROSELAWN AVE    ,2021-12-23,1141 ROSELAWN AVE,Not Checked,,
21 251832 NNY 08 OZ,3300 DUFFERIN ST    ,2021-12-29,3300 DUFFERIN ST,Not Checked,,
21 252332 NNY 18 OZ,15 MOORE PARK AVE    ,2021-12-31,6200 YONGE ST & 11-15 MOORE PARK AVE,Not Checked,,
21 251407 NNY 17 OZ,245 YORKLAND BLVD    ,2021-12-24,235 - 245 YORKLAND BLVD,Not Checked,,
21 252235 NNY 08 OZ,2451 DUFFERIN ST    ,2021-12-30,2451 DUFFERIN ST,Not Checked,,
21 252447 NNY 18 OZ,277 FINCH AVE W  ,2021-12-31,277 FINCH AVE W,Not Checked,,
