File Number,Address,InDate,Folder Name,QC_Status,Comments,Actions
21 252354 NNY 17 OZ,32 GREENBRIAR RD    ,2021-12-31,22-36 GREENBRIAR RD,,,
21 252354 NNY 17 OZ,34 GREENBRIAR RD    ,2021-12-31,22-36 GREENBRIAR RD,,,
21 252354 NNY 17 OZ,36 GREENBRIAR RD    ,2021-12-31,22-36 GREENBRIAR RD,,,
21 251194 NNY 08 OZ,782 MARLEE AVE    ,2021-12-23,774 - 782 MARLEE AVE,,,
21 251194 NNY 08 OZ,780 MARLEE AVE    ,2021-12-23,774 - 782 MARLEE AVE,,,
21 251194 NNY 08 OZ,778 MARLEE AVE    ,2021-12-23,774 - 782 MARLEE AVE,,,
21 251194 NNY 08 OZ,776 MARLEE AVE    ,2021-12-23,774 - 782 MARLEE AVE,,,
21 251194 NNY 08 OZ,774 MARLEE AVE    ,2021-12-23,774 - 782 MARLEE AVE,,,
21 251175 NNY 08 OZ,1141 ROSELAWN AVE    ,2021-12-23,1141 ROSELAWN AVE,,,
21 251832 NNY 08 OZ,3300 DUFFERIN ST    ,2021-12-29,3300 DUFFERIN ST,,,
21 252332 NNY 18 OZ,15 MOORE PARK AVE    ,2021-12-31,6200 YONGE ST & 11-15 MOORE PARK AVE,,,
21 252332 NNY 18 OZ,11 MOORE PARK AVE    ,2021-12-31,6200 YONGE ST & 11-15 MOORE PARK AVE,,,
21 252332 NNY 18 OZ,6200 YONGE ST    ,2021-12-31,6200 YONGE ST & 11-15 MOORE PARK AVE,,,
21 251407 NNY 17 OZ,245 YORKLAND BLVD    ,2021-12-24,235 - 245 YORKLAND BLVD,,,
21 251407 NNY 17 OZ,235 YORKLAND BLVD    ,2021-12-24,235 - 245 YORKLAND BLVD,,,
21 252235 NNY 08 OZ,2451 DUFFERIN ST    ,2021-12-30,2451 DUFFERIN ST,,,
21 252447 NNY 18 OZ,277 FINCH AVE W  ,2021-12-31,277 FINCH AVE W,,,
