IBMS Reports,,,,,,,,
All Applications Received - Extract,,,,,,,,
Selected District: ALL,,,,,,,,
Selected Folder Type: OZ,,,,,,,,
Selected Folder Status: ALL,,,,,,,,
Selected Period: 12/20/2021 To 01/02/2022,,,,,,,,
District,Application Type,File Number,Address,InDate,Status,Folder Description,Folder Name,ARoll
Toronto and East York District,OPA / Rezoning,21 251886 STE 11 OZ,1233 YONGE ST    ,2021-12-29,Under Review ,"Official Plan and Zoning By-law Amendment application to facilitate the redevelopment of the site for a 13-storey mixed-use building having a non-residential gross floor area of 433 square metres and a residential gross floor area of 10,815 square metres.  110 residential dwelling units are proposed, of which, 40 are rental replacement units.",1233 YONGE ST & 9 WOODLAWN AVE E,1904102030028000000
Toronto and East York District,OPA / Rezoning,21 251886 STE 11 OZ,9 WOODLAWN AVE E  ,2021-12-29,Under Review ,"Official Plan and Zoning By-law Amendment application to facilitate the redevelopment of the site for a 13-storey mixed-use building having a non-residential gross floor area of 433 square metres and a residential gross floor area of 10,815 square metres.  110 residential dwelling units are proposed, of which, 40 are rental replacement units.",1233 YONGE ST & 9 WOODLAWN AVE E,1904102030029000000
Toronto and East York District,OPA / Rezoning,21 251348 STE 14 OZ,415 BROADVIEW AVE    ,2021-12-24,Application Received,,415 BROADVIEW AVE,1904075050001000000
Etobicoke York District,OPA / Rezoning,21 251925 WET 07 OZ,470 SENTINEL RD    ,2021-12-29,Application Received,,470 SENTINEL RD & 1-40 FOUNTAINHEAD RD,1908033331001000000
Etobicoke York District,OPA / Rezoning,21 251925 WET 07 OZ,40 FOUNTAINHEAD RD    ,2021-12-29,Application Received,,470 SENTINEL RD & 1-40 FOUNTAINHEAD RD,1908033331002000000
Etobicoke York District,OPA / Rezoning,21 251925 WET 07 OZ,35 FOUNTAINHEAD RD    ,2021-12-29,Application Received,,470 SENTINEL RD & 1-40 FOUNTAINHEAD RD,1908033331004000000
Etobicoke York District,OPA / Rezoning,21 251925 WET 07 OZ,1 FOUNTAINHEAD RD    ,2021-12-29,Application Received,,470 SENTINEL RD & 1-40 FOUNTAINHEAD RD,1908033331005000000
North York District,OPA / Rezoning,21 252336 NNY 06 OZ,2 CHAMPAGNE DR    ,2021-12-31,Application Received,,2 CHAMPAGNE DR,1908033430003000000
North York District,OPA / Rezoning,21 251851 NNY 08 OZ,521 COLDSTREAM AVE    ,2021-12-29,Under Review ,Zoning by-law amendment to facilitate the redevelopment of the site for a 3-storey institutional building having a non-residential gross floor area of 2218.31 square metres.,515-521 COLDSTREAM AVE,1908041110004000000
North York District,OPA / Rezoning,21 251851 NNY 08 OZ,515 COLDSTREAM AVE    ,2021-12-29,Under Review ,Zoning by-law amendment to facilitate the redevelopment of the site for a 3-storey institutional building having a non-residential gross floor area of 2218.31 square metres.,515-521 COLDSTREAM AVE,1908041110007000000
North York District,OPA / Rezoning,21 252354 NNY 17 OZ,22 GREENBRIAR RD    ,2021-12-31,Application Received,"Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a 46-storey residential building having a gross floor area of 24,320 square metres and containing 351 residential dwelling units.",22-36 GREENBRIAR RD,1908113050083000000
North York District,OPA / Rezoning,21 252354 NNY 17 OZ,24 GREENBRIAR RD    ,2021-12-31,Application Received,"Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a 46-storey residential building having a gross floor area of 24,320 square metres and containing 351 residential dwelling units.",22-36 GREENBRIAR RD,1908113050084000000
