IBMS Reports,,,,,,,,
All Applications Received - Extract,,,,,,,,
Selected District: ALL,,,,,,,,
Selected Folder Type: OZ,,,,,,,,
Selected Folder Status: ALL,,,,,,,,
Selected Period: 02/28/2022 To 03/06/2022,,,,,,,,
District,Application Type,File Number,Address,InDate,Status,Folder Description,Folder Name,ARoll
North York District,OPA / Rezoning,22 119174 NNY 18 OZ,6125 YONGE ST    ,03/03/2022,Application Received,New mixed-use building of 27 storeys. The podium will become the new location of the grocery store which currently exists on the property and the residential tower above will include 391 condominium units.,6125 YONGE ST,1908094520001000000
Scarborough District,OPA / Rezoning,22 118270 ESC 21 OZ,2102 LAWRENCE AVE E  ,03/01/2022,Application Received,"Proposal includes a 10-12 storey residential building fronting onto Lawrence Avenue, with series of 2/3 storey townhomes fronting an interior pedestrian access, with vehicular laneway access in the rear accessed via Ellington Drive. Proposed total FSI of 1.83, with proposed total GFA of 9,611.05 sq.m. Approximately 121-134 residential units are proposed.",2102 LAWRENCE AVE E,1901032420001000000
Scarborough District,OPA / Rezoning,22 119495 ESC 24 OZ,1215 MCCOWAN RD    ,03/04/2022,Application Received,"The proposed development for the subject lands contemplates an three mixed use towers ranging

in height from 25 to 55 stories (87 to 177 metres), a total Gross Floor Area (`GFA¿) of 117,913

square metres (113,104 square metres of residential GFA and 4810 square metres of commercial

space), and a proposed density of 6.42 times the lot area. A total of 1466 vehicular parking spaces

and 1087 bicycle parking spaces.",1215 MCCOWAN RD,1901052810031020000
Etobicoke York District,OPA / Rezoning,22 117779 WET 02 OZ,301 DIXON RD    ,02/28/2022,Application Received,"Construction of an 8-storey residential building with 10,291 square metres of residential gross floor area to the subject site, which is currently occupied by a 16-storey rental apartment building.",301 DIXON RD,1919026490013000000
