IBMS Reports,,,,,,,,
All Applications Received - Extract,,,,,,,,
Selected District: ALL,,,,,,,,
Selected Folder Type: OZ,,,,,,,,
Selected Folder Status: ALL,,,,,,,,
Selected Period: 12/06/2021 To 12/12/2021,,,,,,,,
District,Application Type,File Number,Address,InDate,Status,Folder Description,Folder Name,ARoll
Toronto and East York District,OPA / Rezoning,21 247109 STE 04 OZ,3239 DUNDAS ST W  ,2021-12-10,Application Received,"Zoning by-law amendment application to facilitate the redevelopment of the site for an 8-storey mixed-use building having a non-residential gross floor area of 219 square metres, and a residential gross floor area of 7982 square metres.  88 residential dwelling units are proposed.",3239-3251 DUNDAS ST W,1904012700010000000
Toronto and East York District,OPA / Rezoning,21 247109 STE 04 OZ,3241 DUNDAS ST W  ,2021-12-10,Application Received,"Zoning by-law amendment application to facilitate the redevelopment of the site for an 8-storey mixed-use building having a non-residential gross floor area of 219 square metres, and a residential gross floor area of 7982 square metres.  88 residential dwelling units are proposed.",3239-3251 DUNDAS ST W,1904012700011000000
Toronto and East York District,OPA / Rezoning,21 247109 STE 04 OZ,3243 DUNDAS ST W  ,2021-12-10,Application Received,"Zoning by-law amendment application to facilitate the redevelopment of the site for an 8-storey mixed-use building having a non-residential gross floor area of 219 square metres, and a residential gross floor area of 7982 square metres.  88 residential dwelling units are proposed.",3239-3251 DUNDAS ST W,1904012700012000000
Toronto and East York District,OPA / Rezoning,21 247109 STE 04 OZ,3245 DUNDAS ST W  ,2021-12-10,Application Received,"Zoning by-law amendment application to facilitate the redevelopment of the site for an 8-storey mixed-use building having a non-residential gross floor area of 219 square metres, and a residential gross floor area of 7982 square metres.  88 residential dwelling units are proposed.",3239-3251 DUNDAS ST W,1904012700013000000
Toronto and East York District,OPA / Rezoning,21 247109 STE 04 OZ,3247 DUNDAS ST W  ,2021-12-10,Application Received,"Zoning by-law amendment application to facilitate the redevelopment of the site for an 8-storey mixed-use building having a non-residential gross floor area of 219 square metres, and a residential gross floor area of 7982 square metres.  88 residential dwelling units are proposed.",3239-3251 DUNDAS ST W,1904012700014000000
Toronto and East York District,OPA / Rezoning,21 247109 STE 04 OZ,3249 DUNDAS ST W  ,2021-12-10,Application Received,"Zoning by-law amendment application to facilitate the redevelopment of the site for an 8-storey mixed-use building having a non-residential gross floor area of 219 square metres, and a residential gross floor area of 7982 square metres.  88 residential dwelling units are proposed.",3239-3251 DUNDAS ST W,1904012700015000000
Toronto and East York District,OPA / Rezoning,21 247109 STE 04 OZ,3251 DUNDAS ST W  ,2021-12-10,Application Received,"Zoning by-law amendment application to facilitate the redevelopment of the site for an 8-storey mixed-use building having a non-residential gross floor area of 219 square metres, and a residential gross floor area of 7982 square metres.  88 residential dwelling units are proposed.",3239-3251 DUNDAS ST W,1904012700016000000
Scarborough District,OPA / Rezoning,21 247614 ESC 25 OZ,10165 SHEPPARD AVE E  ,2021-12-12,Application Received,"Plan of Subdivision for a public road, and create a total of 11 single-detached dwelling lots.",10165 SHEPPARD AVE E,1901122480106000000
North York District,OPA / Rezoning,21 246686 NNY 18 OZ,6464 YONGE ST,2021-12-09,Application Received,"Official Plan Amendment to facilitate the redevelopment of the site with buildings ranging from 4-50 storeys in height, and having a proposed non-residential gross floor area of 29,514 square metres, and a residential gross floor area of 635,766.00 square metres.",6212-6600 YONGE ST,1908073970014000000
